State,Depressed,Diabetes,Internet30,Diff_concentrate,Unemployment,Poverty,High_school,College
Alabama,21.3,12.9,75.6,16.4,8.6,19.3,32.5,6.8
Alaska,15.6,7.4,89.9,7.5,7.6,11.2,37.3,7
Arizona,18.7,10.1,82.9,10.8,7.9,18.2,31.7,6.9
Arkansas,21.5,12.8,77.3,15.9,6.8,18.9,32.7,7.4
California,13.3,10.3,80.6,10.8,8.5,16.4,28.8,9.5
Colorado,17,7.3,86.9,7.8,5.5,12,27.8,11.2
Connecticut,18.3,9.2,83.7,8.7,7.9,10.8,29.9,14.1
Delaware,18.3,11.1,81.5,10.5,6.7,12.5,31,8.5
District of Columbia,18.1,8.4,84.6,9.3,8.9,17.7,25.9,23.7
Florida,16.2,11.2,81.9,11.6,8,16.5,30.2,8.2
Georgia,18.3,11.6,80.5,11.4,8.3,18.3,32,8.2
Hawaii,10.7,9.8,80.4,7,5.4,11.4,39.4,7.5
Idaho,19.5,7.6,86.1,8.7,5.5,14.8,34.9,5.5
Illinois,16.7,10.1,81.8,8.1,8.1,14.4,28.1,12.9
Indiana,20.7,10.7,80.7,10.8,7.1,15.2,31.3,9
Iowa,18.7,9.5,83.2,8.3,4.4,12.2,27.9,9.8
Kansas,18.6,10.3,83.9,9.9,5.2,13.6,27.2,10.3
Kentucky,23.9,12.5,78.7,16,7.6,19.1,33.8,8.4
Louisiana,18.7,11.3,77,14.5,7.5,19.8,32,7.2
Maine,23.7,9.5,84.8,9.8,5.9,14.1,29.6,10.9
Maryland,15.9,10.1,84.5,8.6,7.2,10.1,30.4,12.7
Massachusetts,21.7,9.7,85.3,11.9,6.7,11.6,27.6,17.2
Michigan,20.5,10.4,83,12.6,8.3,16.2,28.6,9.7
Minnesota,18.2,8.1,86.8,8.3,4.7,11.5,27.2,12.8
Mississippi,19.9,13,70.4,16.2,9.8,21.5,29.1,5.7
Missouri,21.7,11.1,81.5,11.6,6.8,15.5,29.2,9.2
Montana,20.4,8.8,83,10.7,4.9,15.4,34.9,6.7
Nebraska,17.7,9.2,83.6,7.9,4.2,12.4,27.7,10.9
Nevada,15.6,9.6,82.1,11.3,8.9,15.2,36.2,5.4
New Hampshire,21,9.2,89.1,9.8,5.1,9.2,29.4,12
New Jersey,13.4,9.7,82.9,8.8,7.5,11.1,28,14.4
New Mexico,21.1,11.5,76.4,12.1,8.7,21.3,29.8,5
New York,15.9,10,80,9.5,7.3,15.9,25.8,15.1
North Carolina,19,10.8,78.5,10.8,8.3,17.2,30.9,9.5
North Dakota,17.3,8.6,82.6,7.1,3,11.5,23.3,12.9
Ohio,20.9,11.7,82.7,11.6,7.2,15.8,32.6,9.5
Oklahoma,21.8,12,79.6,12.8,5.7,16.6,33.3,7.1
Oregon,24,9,87.2,11.7,7.8,16.6,29,7.6
Pennsylvania,19.7,11.2,80.6,10.4,7,13.6,32.3,12.1
Puerto Rico,18.5,15.7,56.2,12.5,7.8,14.3,29.2,12.1
Rhode Island,20.6,9.5,83.1,10.3,8.1,18,30.9,8.4
South Carolina,19.9,12,77.3,12.9,3.9,14.2,30.6,7.1
South Dakota,16.6,9.1,81.5,8.1,7.8,18.3,35.9,8.8
Tennessee,21.4,13,78.1,14.4,6.1,17.2,31.6,7.8
Texas,14.6,11,79.1,10,5,11.7,29.2,6.6
Utah,20.7,7.1,89.4,9.5,5.5,12.2,32.1,12.7
Vermont,21.8,7.9,86,9.8,6.1,11.8,30.1,12.1
Virginia,17.4,9.7,84,9.6,6.5,13.2,31.6,10.6
Washington,21.6,8.9,87.4,10.2,6.9,18.3,35.3,6.9
West Virginia,23.6,14.1,73.2,14.8,5.3,13.2,32,10.5
Wisconsin,17,9,83.5,9.5,4.3,11.2,33,6.6
Wyoming,19,8.4,84.3,7.5,18.5,46.2,28.9,7.6